,dtfk4_x,ft4_x,dtfk7_x,dtfk10_x,dtsk10_x,dtfk11,ft12,class,dtfk1_x,ft5_x,dtfk14_x,dtsk14_x,dtfk1_y,ft1,dtfk2,dtsk3,dtfk4_y,ft4_y,dtsk4,dtfk5,ft5_y,dtsk5,dtfk7_y,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10_y,dtsk10_y,ft11,dtfk13,ft13,dtfk14_y,ft14,dtsk14_y
dtsk4,0.0005354027672288049,0.003464656970285233,0.0011436794151756823,0.0003127115287990702,-0.0014266778236450793,0.0016756050781646951,0.001054632355968568,-0.04756134297039853,0.0005883831363445719,0.0014879113335608898,0.0014081775272854445,0.0018288818319099351,-0.0391326359879123,0.04262085827865808,0.18325930847683986,0.01813044332797228,-0.019419862833683098,0.6431676057293269,1.0,0.16306307599165398,-0.14023399213953758,0.003966411973310341,0.023271661089564508,0.10316853171283973,0.052734625526729584,0.07526507299464429,0.12469990331122265,0.3442936295055098,0.218123661433389,0.10422029442608695,0.006339463094609047,0.3092334734300161,-0.0111871752971567,-0.02510712153414385,-0.05410007344864536,0.030982097324550675,-0.10559415971930403,0.015969727608727006
dtfk5,0.0006274583720371767,0.004060360079123078,0.0013403203493317845,0.0003664782455015057,-0.0016719766864758878,0.0019637037738887086,0.0012359627960563105,-0.055738902859300964,0.0006895480327618447,0.0017437385091547933,0.0016502955026069933,0.0021433344898066863,-0.12137388693384614,0.0030005550953634405,-0.12154886627118454,-0.13459988540938012,0.19455073353598315,0.14090789878900498,0.16306307599165398,1.0,0.4102026993364417,-0.1528849794592178,0.060563806374659225,0.12305713869074689,0.02865776986608256,-0.08801928896457102,0.1415240893773241,0.040583733006198976,0.07089434955948423,0.04983388673196336,-0.06175110079397659,0.005901498153392045,-0.05257608140173608,-0.14317204951453089,-0.03836900808320815,-0.18687258311270452,-0.047933911133057706,-0.16130423140032568
ft5_y,0.00035216763848088043,0.0022789199796131375,0.0007522689524162742,0.00020568978601259724,-0.0009384145745623784,0.00110214948357979,0.0006936971734255511,-0.031284047939543425,0.000387016116338713,0.0009786916554902292,0.0009262457811267452,0.0012029691201302759,-0.155149802918888,0.04990567189937099,-0.1872796323223571,-0.12554067496950996,-0.04781907146981666,-0.09949621202256873,-0.14023399213953758,0.4102026993364417,1.0,-0.05849742273033753,0.0833016655696959,0.06689531122412629,-0.07078608687787317,0.072648085948109,0.2074384064294966,-0.047172588414860495,0.1229852888702003,-0.06931318007909912,-0.08936763126415541,-0.09114789907309798,-0.027478553982312335,-0.10456868463246032,-0.042669875260748814,-0.1450081378461189,-0.01199218511434222,-0.21375560343498679
dtsk5,0.00024331093690022111,0.001574494913160886,0.0005197390208970989,0.00014211008928334204,-0.0006483461408483811,0.0007614698062942237,0.0004792720589581138,-0.021613999080465966,0.000267387583564631,0.0006761733834033292,0.0006399387796696589,0.0008311256109372781,0.09208450654071122,-0.044785167836790575,0.024128210199515488,0.12182234449613692,0.04641356095609748,-0.005625128731607602,0.003966411973310341,-0.1528849794592178,-0.05849742273033753,1.0,-0.03599677093675477,0.043415778673512054,0.1170969343566434,-0.025541581830666214,-0.02962872877469844,-0.014190406335150027,-0.06367100026993143,-0.05682730455760148,-0.023854403416768536,0.09681219655281008,0.013903942693055888,0.10085338765262884,-0.01583836383922097,0.2622590214317514,-0.031626651312877195,0.2857364343916751
dtfk7_y,0.00027069279582652176,0.001751686280447345,0.0005782296943027848,0.00015810295201836334,-0.0007213100724642382,0.0008471645106720827,0.0005332086393325305,-0.024046407097570624,0.0002974789932803248,0.0007522689524183802,0.000711956559087011,0.0009246592782477342,-0.0037409357322998027,-0.00010499616566375653,0.08676786286046595,0.00641111636192849,-0.014254941466839493,-0.02397746398262553,0.023271661089564508,0.060563806374659225,0.0833016655696959,-0.03599677093675477,1.0,0.0611558862748,-0.0014766176395569948,0.14186718766489717,0.3338581235077345,0.08926414955781661,0.1409985796994589,0.01679817691592412,0.22108329670075605,-0.0363284838809812,0.02540851470225444,-0.010163592499593973,0.016857890044305667,-0.04623175930876454,0.07299271933045091,-0.032733714659361035
dtsk7,0.0005629753734685608,0.0036430826869145927,0.0012025775459297435,0.0003288158009128074,-0.0015001500361204627,0.0017618967484355494,0.0011089446689963557,-0.05001069561217113,0.0006186841686418313,0.001564536999032305,0.0014806969964852267,0.0019230670728407034,0.020951115809133725,0.010380067119041223,0.06408169706609405,0.013031793285453721,0.21204684384521666,0.0677373600056529,0.10316853171283973,0.12305713869074689,0.06689531122412629,0.043415778673512054,0.0611558862748,1.0,0.0631733805255391,-0.08235608496402824,0.3105710984674797,0.15134609619793388,0.17215632895282865,0.03444873190319622,0.09441149224255901,0.18963868775822765,0.11772434813907551,0.058482109498267924,0.11123630798208045,0.06479390087369265,0.08332732816259424,0.16863065322099904
dtfk8,-6.67574699013343e-05,-0.0004319957750899916,-0.0001426013252252734,-3.899089012897497e-05,0.00017788739188762508,-0.0002089252473468361,-0.00013149836360739524,0.0059302549709923085,-7.336340400083204e-05,-0.00018552238080741038,-0.00017558065562666358,-0.00022803678150569838,0.12345223512255157,-0.01997482721064599,0.0655622862920368,0.1659481646440016,0.06252773264262278,0.03127208796874808,0.052734625526729584,0.02865776986608256,-0.07078608687787317,0.1170969343566434,-0.0014766176395569948,0.0631733805255391,1.0,-0.03155539589550533,-0.01686354400247403,0.027560554572594882,-0.08199560324489455,0.18956535358785365,-0.00947100269620185,0.07889425458486991,0.13342154857120128,0.1781513069712469,-0.021272810640000302,0.1410866277009671,0.009098399554303116,0.14283233890684696
ft8,-0.00019564456545795037,-0.00126603997759489,-0.0004179183894921828,-0.00011426969547113454,0.0005213304449398155,-0.0006122923665496918,-0.0003853791979335762,0.017379660412303592,-0.0002150044229903587,-0.00054370612951379,-0.0005145701465931459,-0.0006683020955192499,-0.043244062681043485,-0.013082027787392973,-0.07452523116746818,0.00869536063231729,-0.08983659872206572,0.0013757506877061807,0.07526507299464429,-0.08801928896457102,0.072648085948109,-0.025541581830666214,0.14186718766489717,-0.08235608496402824,-0.03155539589550533,1.0,0.2643386535466377,0.1782810915311412,0.34555151319849375,-0.010593852568967247,0.12083768508307645,-0.024473847246082373,-0.17139408342277493,0.003999774582177367,-0.07856175423178703,-0.040982916411863496,-0.007561212274147732,-0.06978184142967457
dtsk8,-0.00032429584718594867,-0.002098558199849417,-0.0006927317293754372,-0.0001894107695455799,0.0008641451292370635,-0.0010149214789937605,-0.0006387955279333696,0.02880811784315675,-0.00035638629336734413,-0.0009012345396603895,-0.0008529394171119941,-0.001107761893262505,-0.09862356905105932,0.02879401524102791,-0.07613639603736269,-0.0426501312449925,0.07734252067127764,0.03873320001298513,0.12469990331122265,0.1415240893773241,0.2074384064294966,-0.02962872877469844,0.3338581235077345,0.3105710984674797,-0.01686354400247403,0.2643386535466377,1.0,0.20750787119030106,0.31245743994073427,-0.08495412987244949,0.22698590838487218,0.02024895795937021,0.12212182417384568,0.042942427545574986,-0.054875453268509095,-0.15648606983516825,0.00014015942755342907,-0.06552921636329023
dtfk9,-4.2115404220770437e-07,-2.7253394588527226e-06,-8.996315263482166e-07,-2.4598252466900645e-07,1.1222413650744182e-06,-1.3180504379410833e-06,-8.295860741587444e-07,3.7412305409925804e-05,-4.628290165964172e-07,-1.1704083559850686e-06,-1.107688816841368e-06,-1.438619714681753e-06,-0.01605372502864568,-0.009814811397000734,0.13914923073092747,-0.011333368369890963,0.003098929072980947,0.11692662092757578,0.3442936295055098,0.040583733006198976,-0.047172588414860495,-0.014190406335150027,0.08926414955781661,0.15134609619793388,0.027560554572594882,0.1782810915311412,0.20750787119030106,1.0,0.5362299087082754,-0.033039324868401686,0.09089096069233128,0.18705374423587057,-0.037326241959262624,0.07117995228745716,-0.0893475629100897,-0.06946630349532167,-0.09067444900647956,-0.045551532455538155
ft9,-2.6024376229951453e-05,-0.00016840693030206695,-5.5590940520646764e-05,-1.5200000775478435e-05,6.934667266361957e-05,-8.144630479522855e-05,-5.1262621145473616e-05,0.002311818987961433,-2.8599598368087065e-05,-7.232305604739755e-05,-6.844742689517892e-05,-8.889664340187563e-05,0.000476231344625745,0.06928943834923144,0.11294393332595505,0.0067255445896509305,-0.03542821785636788,0.16381245192520041,0.218123661433389,0.07089434955948423,0.1229852888702003,-0.06367100026993143,0.1409985796994589,0.17215632895282865,-0.08199560324489455,0.34555151319849375,0.31245743994073427,0.5362299087082754,1.0,-0.21096134567636862,0.10470540539212905,0.022341954231582088,-0.09237556623881524,-0.02622548836765586,0.04961237139201886,-0.13059171919720527,-0.009959874423896802,-0.0777866163579901
dtsk9,8.348710897801076e-05,0.0005402553213353454,0.00017833768111821582,4.876213400768681e-05,-0.00022246655084946025,0.0002612825938325562,0.00016445228120704473,-0.007416396154083331,9.174851164789486e-05,0.00023201489282387148,0.0002195817389788844,0.00028518354060942604,0.06874323619102721,0.01160105643385709,-0.026815695111906963,0.12307559828195441,0.06663669649409676,0.09387499132868002,0.10422029442608695,0.04983388673196336,-0.06931318007909912,-0.05682730455760148,0.01679817691592412,0.03444873190319622,0.18956535358785365,-0.010593852568967247,-0.08495412987244949,-0.033039324868401686,-0.21096134567636862,1.0,-0.05205497299341038,0.011156900268828917,0.06374442651381089,0.11147965074846371,0.003758005226503438,0.13263808157044712,0.009959885099691338,0.09805903741411724
dtfk10_y,7.401441076202053e-05,0.000478956329419516,0.00015810295201613373,4.322943578048092e-05,-0.00019722482760615108,0.0002316366857325913,0.0001457930312968608,-0.006574909564439106,8.133844986471761e-05,0.00020568978601240173,0.0001946673351574129,0.0002528257592790784,0.0588326189221414,0.00906835920109397,0.08395133938338845,0.12114137340547596,0.08821812754340116,0.08310763145493509,0.006339463094609047,-0.06175110079397659,-0.08936763126415541,-0.023854403416768536,0.22108329670075605,0.09441149224255901,-0.00947100269620185,0.12083768508307645,0.22698590838487218,0.09089096069233128,0.10470540539212905,-0.05205497299341038,1.0,-0.011493582432767591,0.01747290864404107,0.015535714590051763,0.1315505960870872,-0.06001393847229082,0.031014788406706014,0.0050453160707846405
dtsk10_y,-0.00033767452985067136,-0.0021851332962122367,-0.0007213100724622951,-0.00019722482760673856,0.0008997950568078278,-0.0010567916186274436,-0.0006651487567280183,0.029996584085672434,-0.00037108885329270786,-0.0009384145745629189,-0.000888127057955384,-0.001153462123384367,-0.020013418075855494,0.04648947770748293,0.057008701749354164,0.013308222406885627,0.16477424565106424,0.20283070766193723,0.3092334734300161,0.005901498153392045,-0.09114789907309798,0.09681219655281008,-0.0363284838809812,0.18963868775822765,0.07889425458486991,-0.024473847246082373,0.02024895795937021,0.18705374423587057,0.022341954231582088,0.011156900268828917,-0.011493582432767591,1.0,-0.022343823109037195,0.23888437440711882,-0.030781587318387836,0.03433491174835849,0.028645755365803154,0.16211315006134208
ft11,4.312184344333194e-05,0.0002790467375294944,9.211301791824525e-05,2.5186081232880603e-05,-0.00011490597643829689,0.00013495481211029154,8.49410838501646e-05,-0.0038306353853311743,4.7388932301945755e-05,0.00011983778103429594,0.0001134159451343537,0.00014729986630664243,0.15298473090001935,0.10476110325302783,0.022049292493284547,0.09167464617336833,0.10236790067766362,0.14417239160180245,-0.0111871752971567,-0.05257608140173608,-0.027478553982312335,0.013903942693055888,0.02540851470225444,0.11772434813907551,0.13342154857120128,-0.17139408342277493,0.12212182417384568,-0.037326241959262624,-0.09237556623881524,0.06374442651381089,0.01747290864404107,-0.022343823109037195,1.0,0.029008866389251126,0.23934674314653337,0.08522469288244339,0.15502331129564573,0.054069809873585825
dtfk13,0.0005638418425604772,0.0036486897146621802,0.0012044284195567262,0.0003293218776205568,-0.0015024589002340604,0.0017646084639753286,0.0011106514333116548,-0.050087666513604266,0.0006196363785143617,0.0015669449603988022,0.001482975920643678,0.0019260268438284886,0.04638422937468293,0.00951217511978699,0.09332464210123277,0.034099592618605894,0.08715631764401678,0.16830763342319735,-0.02510712153414385,-0.14317204951453089,-0.10456868463246032,0.10085338765262884,-0.010163592499593973,0.058482109498267924,0.1781513069712469,0.003999774582177367,0.042942427545574986,0.07117995228745716,-0.02622548836765586,0.11147965074846371,0.015535714590051763,0.23888437440711882,0.029008866389251126,1.0,0.04111211704248143,0.26169764682431257,0.14401769669654055,0.31410290503064225
ft13,0.00046036695715418743,0.0029790910406620285,0.0009833946414776475,0.0002688855265436516,-0.001226731292240892,0.0014407718047903266,0.0009068273799675343,-0.04089569961472169,0.0005059222153863672,0.001279383027276376,0.0012108237817408383,0.0015725670756433668,0.029440858272252034,0.23095767456073032,-0.004117138153362613,-0.05293760885814496,0.02959928686311739,0.22614450343476428,-0.05410007344864536,-0.03836900808320815,-0.042669875260748814,-0.01583836383922097,0.016857890044305667,0.11123630798208045,-0.021272810640000302,-0.07856175423178703,-0.054875453268509095,-0.0893475629100897,0.04961237139201886,0.003758005226503438,0.1315505960870872,-0.030781587318387836,0.23934674314653337,0.04111211704248143,1.0,0.1346655548762605,0.5499226333299861,0.21111697581050667
dtfk14_y,0.0003332957704913521,0.0021567978073624037,0.0007119565590843662,0.00019466733515578722,-0.0008881270579605815,0.001043087783176411,0.0006565235093810654,-0.029607606499910392,0.00036627679716663523,0.0009262457811268011,0.0008766103626624803,0.0011385047232147973,0.17837309535925155,0.008875731986480838,0.20384476982796162,0.18613114372303924,0.20477922754141067,0.05501483114206058,0.030982097324550675,-0.18687258311270452,-0.1450081378461189,0.2622590214317514,-0.04623175930876454,0.06479390087369265,0.1410866277009671,-0.040982916411863496,-0.15648606983516825,-0.06946630349532167,-0.13059171919720527,0.13263808157044712,-0.06001393847229082,0.03433491174835849,0.08522469288244339,0.26169764682431257,0.1346655548762605,1.0,-0.0386781373447439,0.5938620060353968
ft14,0.0005709765233395126,0.0036948591089902886,0.00121966888530884,0.0003334890150908636,-0.0015214705517725459,0.0017869372752423948,0.001124705273994981,-0.05072146039769578,0.0006274770661408691,0.0015867725986530475,0.0015017410405672932,0.0019503981934878942,0.11261603507658466,0.15913740375048427,0.020446979362180637,-0.06443874438179743,-0.0008533588347943565,0.028549259484691343,-0.10559415971930403,-0.047933911133057706,-0.01199218511434222,-0.031626651312877195,0.07299271933045091,0.08332732816259424,0.009098399554303116,-0.007561212274147732,0.00014015942755342907,-0.09067444900647956,-0.009959874423896802,0.009959885099691338,0.031014788406706014,0.028645755365803154,0.15502331129564573,0.14401769669654055,0.5499226333299861,-0.0386781373447439,1.0,0.18012418946999673
dtsk14_y,0.0004328705489834387,0.0028011584111818687,0.0009246592782476823,0.0002528257592801306,-0.0011534621233860686,0.0013547186052737916,0.000852665161364106,-0.03845311586420924,0.00047570492129660137,0.0012029691201302798,0.001138504723214737,0.0014786421196799802,0.08752730956600846,0.004467863068509462,0.16885912381979454,0.13036994740814448,0.25846717080303216,0.12550086756518813,0.015969727608727006,-0.16130423140032568,-0.21375560343498679,0.2857364343916751,-0.032733714659361035,0.16863065322099904,0.14283233890684696,-0.06978184142967457,-0.06552921636329023,-0.045551532455538155,-0.0777866163579901,0.09805903741411724,0.0050453160707846405,0.16211315006134208,0.054069809873585825,0.31410290503064225,0.21111697581050667,0.5938620060353968,0.18012418946999673,1.0
